timestamp,MTR02_TEMP,MTR02_TEMP_B,MTR02_VIB_H,MTR02_CURRENT,MTR02_RUN,HYD02_PRESS,HYD02_PRESS_ACC,HYD02_FLOW,FUR02_TEMP_Z1
2026-04-01 00:00:00,48.0,48.0,1.8,62.5,1,152.0,148.0,118.0,1195.0
2026-04-01 00:10:00,48.0,48.0,1.9,63.0,1,153.0,148.0,118.5,1196.0
2026-04-01 00:20:00,48.5,48.5,1.8,62.0,1,152.0,147.0,117.5,1194.0
2026-04-01 00:30:00,48.0,48.0,2.0,64.0,1,151.0,148.0,118.0,1195.0
2026-04-01 00:40:00,48.5,48.5,1.9,63.5,1,153.0,149.0,118.5,1196.0
2026-04-01 00:50:00,48.5,48.0,1.7,62.5,1,152.0,148.0,117.0,1194.0
2026-04-01 01:00:00,49.0,49.0,1.9,63.0,1,154.0,147.0,118.0,1195.0
2026-04-01 01:10:00,48.5,48.5,1.8,62.0,1,152.0,148.0,117.5,1196.0
2026-04-01 01:20:00,49.0,49.0,2.1,64.5,1,151.0,149.0,118.5,1194.0
2026-04-01 01:30:00,48.5,48.5,1.8,63.0,1,153.0,148.0,118.0,1195.0
2026-04-01 01:40:00,49.0,49.0,1.8,62.5,1,152.0,148.0,118.0,1195.0
2026-04-01 01:50:00,49.0,48.5,1.9,63.0,1,153.0,148.0,118.5,1196.0
2026-04-01 02:00:00,49.0,49.0,1.8,62.0,1,152.0,147.0,117.5,1194.0
2026-04-01 02:10:00,49.5,49.0,2.0,64.0,1,151.0,148.0,118.0,1195.0
2026-04-01 02:20:00,49.5,49.5,1.9,63.5,1,153.0,149.0,118.5,1196.0
2026-04-01 02:30:00,49.0,49.0,1.7,62.5,1,152.0,148.0,117.0,1194.0
2026-04-01 02:40:00,49.5,49.5,1.9,63.0,1,154.0,147.0,118.0,1195.0
2026-04-01 02:50:00,49.5,49.0,1.8,62.0,1,152.0,148.0,117.5,1196.0
2026-04-01 03:00:00,50.0,49.5,2.1,64.5,1,151.0,149.0,118.5,1194.0
2026-04-01 03:10:00,49.5,49.0,1.8,63.0,1,153.0,148.0,118.0,1195.0
2026-04-01 03:20:00,50.0,49.5,1.8,62.5,1,152.0,148.0,118.0,1195.0
2026-04-01 03:30:00,49.5,49.5,1.9,63.0,1,153.0,148.0,118.5,1196.0
2026-04-01 03:40:00,50.0,50.0,1.8,62.0,1,152.0,147.0,117.5,1194.0
2026-04-01 03:50:00,50.0,49.5,2.0,64.0,1,151.0,148.0,118.0,1195.0
2026-04-01 04:00:00,50.0,49.5,1.9,63.5,1,153.0,149.0,118.5,1196.0
2026-04-01 04:10:00,50.0,50.0,1.7,62.5,1,152.0,148.0,117.0,1194.0
2026-04-01 04:20:00,50.5,50.0,1.9,63.0,1,154.0,147.0,118.0,1195.0
2026-04-01 04:30:00,50.0,49.5,1.8,62.0,1,152.0,148.0,117.5,1196.0
2026-04-01 04:40:00,50.5,50.0,2.1,64.5,1,151.0,149.0,118.5,1194.0
2026-04-01 04:50:00,50.5,50.0,1.8,63.0,1,153.0,148.0,118.0,1195.0
2026-04-01 05:00:00,51.0,50.5,1.8,62.5,1,152.0,148.0,118.0,1195.0
2026-04-01 05:10:00,50.5,50.0,1.9,63.0,1,153.0,148.0,118.5,1196.0
2026-04-01 05:20:00,51.0,50.5,1.8,62.0,1,152.0,147.0,117.5,1194.0
