샷,설비ID,실린더압력,주조압력,사이클타임,비스킷두께,형체력,품질등급
1,DIE-A-01,214.0,1037.0,20.7,10.0,258.0,양품
2,DIE-B-01,217.0,1052.0,20.7,11.0,257.0,양품
3,DIE-B-01,214.0,1037.0,20.8,11.0,254.0,양품
4,DIE-B-02,217.0,1052.0,20.6,11.0,253.0,양품
5,DIE-A-01,217.0,1052.0,20.6,11.0,254.0,양품
6,DIE-A-01,217.0,1052.0,20.6,11.0,257.0,양품
7,DIE-A-01,215.0,1038.0,20.9,11.0,250.0,양품
8,DIE-A-01,215.0,1038.0,20.9,11.0,258.0,양품
9,DIE-B-02,215.0,1039.0,20.9,11.0,258.0,양품
10,DIE-A-01,218.0,1053.0,20.8,12.0,257.0,양품
11,DIE-B-01,218.0,1054.0,21.0,11.0,258.0,양품
12,DIE-A-01,214.0,1038.0,20.8,11.0,257.0,양품
13,DIE-A-02,214.0,1037.0,20.8,11.0,257.0,양품
14,DIE-A-02,218.0,1053.0,20.9,11.0,257.0,양품
15,DIE-B-02,214.0,1037.0,20.8,12.0,255.0,양품
16,DIE-B-01,218.0,1055.0,20.9,11.0,255.0,양품
17,DIE-A-01,217.0,1051.0,20.9,12.0,257.0,양품
18,DIE-A-02,218.0,1055.0,20.7,11.0,255.0,양품
19,DIE-A-01,217.0,1051.0,20.9,11.0,257.0,양품
20,DIE-B-02,214.0,1037.0,20.8,12.0,257.0,양품
21,DIE-B-02,217.0,1052.0,20.9,12.0,257.0,양품
22,DIE-B-02,214.0,1038.0,20.7,12.0,255.0,양품
23,DIE-B-02,216.0,1046.0,20.8,11.0,257.0,양품
24,DIE-B-02,214.0,1038.0,20.7,12.0,257.0,양품
25,DIE-C-01,214.0,1037.0,20.7,11.0,257.0,양품
26,DIE-B-02,218.0,1053.0,20.8,11.0,257.0,양품
27,DIE-A-01,215.0,1039.0,20.8,11.0,257.0,양품
28,DIE-B-02,218.0,1054.0,20.8,12.0,254.0,양품
29,DIE-A-02,215.0,1040.0,20.9,12.0,258.0,양품
30,DIE-B-02,214.0,1037.0,20.8,12.0,258.0,양품
31,DIE-B-01,218.0,1055.0,20.8,12.0,258.0,양품
32,DIE-A-02,214.0,1037.0,20.9,13.0,258.0,양품
33,DIE-A-02,218.0,1055.0,20.8,12.0,257.0,양품
34,DIE-A-02,215.0,1038.0,20.9,12.0,257.0,양품
35,DIE-A-02,215.0,1040.0,20.9,12.0,257.0,양품
36,DIE-A-01,217.0,1052.0,20.8,11.0,255.0,양품
37,DIE-B-02,218.0,1055.0,20.9,12.0,257.0,양품
38,DIE-B-02,218.0,1053.0,20.8,12.0,258.0,양품
39,DIE-C-01,215.0,1040.0,20.9,11.0,257.0,양품
40,DIE-B-01,218.0,1053.0,20.8,11.0,255.0,양품
41,DIE-B-01,218.0,1055.0,21.0,11.0,257.0,양품
42,DIE-B-02,215.0,1040.0,20.9,11.0,254.0,양품
43,DIE-A-01,215.0,1040.0,20.7,21.0,253.0,주의
44,DIE-B-01,214.0,1036.0,21.0,10.0,259.0,양품
45,DIE-A-02,214.0,1037.0,20.7,11.0,251.0,양품
46,DIE-A-01,217.0,1052.0,20.7,11.0,261.0,양품
47,DIE-A-01,214.0,1036.0,20.7,11.0,257.0,양품
48,DIE-B-01,214.0,1036.0,20.7,11.0,253.0,양품
49,DIE-A-01,217.0,1052.0,20.8,12.0,255.0,양품
50,DIE-A-02,214.0,1038.0,20.7,11.0,259.0,양품
51,DIE-B-01,217.0,1051.0,20.8,11.0,258.0,양품
52,DIE-A-02,214.0,1036.0,20.8,11.0,257.0,양품
53,DIE-A-01,217.0,1051.0,20.7,11.0,258.0,양품
54,DIE-A-02,217.0,1051.0,20.7,11.0,255.0,양품
55,DIE-A-01,218.0,1053.0,20.7,11.0,255.0,양품
56,DIE-A-01,217.0,1052.0,20.7,11.0,257.0,양품
57,DIE-A-01,217.0,1052.0,20.7,11.0,258.0,양품
58,DIE-A-02,214.0,1037.0,20.8,11.0,258.0,양품
59,DIE-A-01,218.0,1053.0,20.8,11.0,253.0,양품
60,DIE-B-01,218.0,1053.0,20.7,11.0,253.0,양품
61,DIE-C-01,214.0,1037.0,20.6,11.0,254.0,양품
62,DIE-A-02,216.0,1048.0,20.8,11.0,254.0,양품
63,DIE-B-02,218.0,1053.0,20.6,12.0,254.0,양품
64,DIE-C-01,215.0,1040.0,20.6,11.0,254.0,양품
65,DIE-A-01,218.0,1054.0,20.7,12.0,253.0,양품
66,DIE-A-01,214.0,1038.0,20.7,10.0,253.0,양품
67,DIE-B-02,218.0,1054.0,21.2,12.0,257.0,양품
68,DIE-B-02,215.0,1040.0,21.1,17.0,257.0,양품
69,DIE-B-01,218.0,1054.0,21.2,12.0,254.0,양품
70,DIE-A-01,214.0,1038.0,21.0,11.0,254.0,양품
71,DIE-A-02,214.0,1038.0,21.2,12.0,254.0,양품
72,DIE-B-02,214.0,1038.0,21.1,12.0,253.0,양품
73,DIE-C-01,218.0,1057.0,21.2,13.0,257.0,양품
74,DIE-B-02,218.0,1055.0,21.3,12.0,258.0,양품
75,DIE-A-01,215.0,1041.0,21.2,13.0,258.0,양품
76,DIE-B-02,218.0,1055.0,21.1,13.0,259.0,양품
77,DIE-A-02,218.0,1057.0,21.0,13.0,259.0,양품
78,DIE-B-02,215.0,1041.0,21.0,12.0,253.0,양품
79,DIE-A-01,218.0,1057.0,21.4,13.0,257.0,양품
80,DIE-C-01,218.0,1054.0,21.3,14.0,253.0,양품
81,DIE-B-01,218.0,1057.0,21.2,14.0,255.0,양품
82,DIE-B-02,218.0,1056.0,21.3,13.0,255.0,양품
83,DIE-A-01,216.0,1045.0,21.5,12.0,258.0,양품
84,DIE-B-01,214.0,1038.0,21.2,12.0,258.0,양품
85,DIE-B-01,239.0,1156.0,22.6,12.0,255.0,양품
86,DIE-B-01,235.0,1135.0,22.6,11.0,254.0,양품
87,DIE-A-02,239.0,1154.0,22.6,10.0,258.0,양품
88,DIE-B-02,239.0,1157.0,22.7,11.0,253.0,양품
89,DIE-A-02,235.0,1137.0,22.7,13.0,261.0,양품
90,DIE-A-02,235.0,1137.0,22.5,7.0,255.0,주의
91,DIE-A-01,239.0,1155.0,22.7,13.0,259.0,양품
92,DIE-B-01,239.0,1155.0,22.5,13.0,250.0,양품
93,DIE-A-01,235.0,1136.0,22.7,14.0,255.0,양품
94,DIE-A-01,239.0,1158.0,22.8,15.0,257.0,양품
95,DIE-A-01,,,,,,양품
96,DIE-B-01,,,,,,양품
97,DIE-B-01,,,,,,양품
98,DIE-B-01,,,,,,양품
99,DIE-A-01,,,,,,양품
100,DIE-A-02,,,,,,양품
