timestamp,machine_id,vibration,temperature
2024-03-01 09:00:00,1,0.36,64.2
2024-03-01 09:00:10,1,0.392,64.35
2024-03-01 09:00:20,1,0.411,64.02
2024-03-01 09:00:30,1,0.387,64.35
2024-03-01 09:00:40,1,0.409,65.47
2024-03-01 09:00:50,1,0.406,65.18
2024-03-01 09:01:00,1,0.411,63.73
2024-03-01 09:01:10,1,0.404,63.99
2024-03-01 09:01:20,1,0.404,64.33
2024-03-01 09:01:30,1,0.414,63.4
2024-03-01 09:01:40,1,0.422,63.7
2024-03-01 09:01:50,1,0.404,63.58
2024-03-01 09:02:00,1,0.424,63.91
2024-03-01 09:02:10,1,0.423,65.48
2024-03-01 09:02:20,1,0.448,64.19
2024-03-01 09:02:40,1,0.418,65.33
2024-03-01 09:02:50,1,0.469,64.58
2024-03-01 09:03:00,1,0.392,65.15
2024-03-01 09:03:10,1,0.457,64.51
2024-03-01 09:03:20,1,0.452,63.92
2024-03-01 09:03:30,1,0.416,65.33
2024-03-01 09:03:40,1,0.462,64.17
2024-03-01 09:03:50,1,0.449,64.84
2024-03-01 09:04:00,1,0.435,64.76
2024-03-01 09:04:10,1,0.422,65.37
2024-03-01 09:04:20,1,0.458,64.97
2024-03-01 09:04:30,1,0.435,65.27
2024-03-01 09:04:40,1,0.423,64.46
2024-03-01 09:04:50,1,0.445,66.65
2024-03-01 09:05:11,1,0.445,64.78
2024-03-01 09:05:18,1,0.457,66.27
2024-03-01 09:05:35,1,0.454,65.69
2024-03-01 09:05:42,1,0.483,65.73
2024-03-01 09:05:49,1,0.475,65.91
2024-03-01 09:06:01,1,0.46,64.62
2024-03-01 09:06:14,1,0.447,66.38
2024-03-01 09:06:17,1,0.49,65.54
2024-03-01 09:06:31,1,0.484,66.63
2024-03-01 09:06:45,1,0.523,65.86
2024-03-01 09:06:40,1,0.477,65.78
2024-03-01 09:06:50,1,0.507,65.28
2024-03-01 09:07:00,1,0.485,65.64
2024-03-01 09:07:10,1,0.479,66.4
2024-03-01 09:07:20,1,0.449,65.42
2024-03-01 09:07:30,1,0.495,65.06
2024-03-01 09:07:40,1,0.466,65.79
2024-03-01 09:08:00,1,0.486,67.47
2024-03-01 09:08:10,1,0.483,66.04
2024-03-01 09:08:20,1,0.459,65.57
