timestamp,s_2,s_3,s_4,s_7,s_11
2024-01-01 00:00:00,640.69,1585.21,1399.3,554.17,46.931
2024-01-01 01:00:00,641.13,1585.55,1401.18,554.36,46.857
2024-01-01 02:00:00,641.25,1584.72,1400.84,554.0,47.22
2024-01-01 03:00:00,641.97,1585.94,1401.26,554.13,47.152
2024-01-01 04:00:00,641.58,1585.72,1401.36,553.87,46.956
2024-01-01 05:00:00,640.93,1585.51,1400.67,554.31,47.317
2024-01-01 06:00:00,640.81,1586.08,1400.37,553.65,47.172
2024-01-01 07:00:00,641.47,1586.94,1400.25,554.37,47.024
2024-01-01 08:00:00,640.69,1586.11,1399.62,553.8,46.77
2024-01-01 09:00:00,642.14,1586.26,1401.94,553.36,47.353
2024-01-01 10:00:00,641.87,1586.05,1401.7,553.81,46.919
2024-01-01 11:00:00,641.16,1585.97,1401.1,553.55,46.896
2024-01-01 12:00:00,640.64,1586.89,1400.19,553.98,47.224
2024-01-01 13:00:00,642.05,1586.19,1401.46,553.51,47.402
2024-01-01 14:00:00,641.42,1586.75,1401.48,553.55,47.283
2024-01-01 15:00:00,642.06,1586.59,1402.54,553.1,47.193
2024-01-01 16:00:00,640.81,1587.19,1400.81,553.51,47.204
2024-01-01 17:00:00,641.29,1587.23,1401.79,552.9,47.243
2024-01-01 18:00:00,641.6,1587.72,1402.15,553.13,47.24
2024-01-01 19:00:00,641.65,1587.02,1402.08,553.81,47.19
2024-01-01 20:00:00,641.45,1587.26,1401.58,553.8,47.177
2024-01-01 21:00:00,641.97,1586.99,1401.56,553.67,47.164
2024-01-01 22:00:00,641.24,1587.39,1401.63,553.23,47.089
2024-01-01 23:00:00,641.69,1587.96,1402.19,553.49,47.154
2024-01-02 00:00:00,641.84,1588.29,1402.48,553.48,46.992
2024-01-02 01:00:00,642.04,1587.46,1402.04,553.11,47.191
2024-01-02 02:00:00,642.16,1588.59,1402.35,553.89,47.092
2024-01-02 03:00:00,641.37,1588.99,1402.36,553.68,47.086
2024-01-02 04:00:00,641.22,1588.56,1401.65,553.33,47.248
2024-01-02 05:00:00,642.51,1589.54,1403.86,553.38,47.401
2024-01-02 06:00:00,642.12,1588.09,1403.04,553.42,47.352
2024-01-02 07:00:00,641.66,1587.92,1402.44,552.72,47.062
2024-01-02 08:00:00,642.73,1587.7,1404.44,553.24,47.139
2024-01-02 09:00:00,642.11,1589.81,1402.89,553.09,47.379
2024-01-02 10:00:00,642.62,1589.42,1403.96,552.97,47.156
2024-01-02 11:00:00,642.16,1589.09,1403.08,553.17,47.254
2024-01-02 12:00:00,643.08,1589.42,1404.43,553.77,47.355
2024-01-02 13:00:00,642.98,1588.64,1404.4,553.4,47.181
2024-01-02 14:00:00,642.11,1591.04,1403.49,553.02,47.317
2024-01-02 15:00:00,642.69,1589.67,1404.0,553.34,47.152
2024-01-02 16:00:00,642.57,1589.77,1404.75,553.57,47.248
2024-01-02 17:00:00,642.93,1590.29,1404.22,553.4,47.366
2024-01-02 18:00:00,641.91,1590.25,1403.2,553.12,47.145
2024-01-02 19:00:00,642.68,1590.19,1404.19,552.89,47.397
2024-01-02 20:00:00,642.88,1589.62,1405.46,553.27,47.349
2024-01-02 21:00:00,641.65,1590.59,1403.16,553.16,47.426
2024-01-02 22:00:00,641.94,1591.69,1404.04,553.29,47.394
2024-01-02 23:00:00,641.58,1591.44,1402.32,553.19,47.539
